                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1005,                 3.8662,                 4.0599,                0.00578,                0.48589,                0.00997,                0.00241,                 2.7666,                 3.9949,                 4.3648,             0.00041118,             0.00041118,             0.00041118
                      2,                 2.8652,                 3.3492,                 3.5015,                0.27751,                 0.1404,                0.02207,                0.00739,                 2.6953,                 36.181,                 5.4804,             0.00079507,             0.00079507,             0.00079507
                      3,                 2.6148,                 3.1168,                 3.1423,                0.07838,                0.09157,                0.05134,                0.01408,                 2.7118,                 4.6627,                 3.8472,               0.001146,               0.001146,               0.001146
                      4,                 2.4162,                 2.9126,                 2.9185,                0.83464,                0.11066,                0.11552,                0.04045,                 2.4773,                 3.4718,                  3.315,              0.0011015,              0.0011015,              0.0011015
                      5,                 2.2617,                 2.7371,                 2.7518,                0.21938,                0.30108,                0.23718,                0.08957,                  2.051,                 2.9821,                 2.7517,              0.0011015,              0.0011015,              0.0011015
                      6,                 2.0428,                 2.5407,                   2.58,                 0.2608,                0.37135,                0.26504,                0.11188,                 2.0596,                 2.7363,                  2.791,               0.001052,               0.001052,               0.001052
                      7,                 1.8927,                 2.3513,                 2.4464,                0.31431,                0.51361,                0.35206,                0.16336,                 1.8201,                 2.3368,                 2.5281,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.7701,                 2.2304,                 2.3304,                0.65821,                0.38024,                0.46166,                0.21105,                 1.8106,                 2.2753,                 2.5202,               0.000953,               0.000953,               0.000953
                      9,                 1.7016,                 2.1648,                 2.2472,                0.40136,                0.50649,                0.40183,                0.21114,                 1.5927,                 2.2764,                 2.3518,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.5937,                 2.0503,                 2.1495,                0.39814,                0.55701,                0.49391,                 0.2582,                 1.5053,                 1.9608,                 2.2136,               0.000854,               0.000854,               0.000854
                     11,                 1.5565,                 1.9526,                  2.085,                 0.4966,                0.59387,                 0.5391,                0.31051,                  1.426,                 1.7321,                 2.1376,              0.0008045,              0.0008045,              0.0008045
                     12,                 1.5228,                 1.8951,                 2.0419,                0.49185,                0.60292,                0.55569,                  0.329,                 1.3881,                 1.7559,                 2.0686,               0.000755,               0.000755,               0.000755
                     13,                 1.4292,                 1.8101,                 1.9589,                0.67987,                0.54362,                 0.6201,                0.37087,                 1.3447,                 1.7098,                  2.044,              0.0007055,              0.0007055,              0.0007055
                     14,                 1.4386,                 1.7805,                 1.9636,                 0.6018,                0.63064,                0.64036,                0.40705,                 1.2844,                 1.5184,                   1.98,               0.000656,               0.000656,               0.000656
                     15,                 1.3576,                 1.7167,                 1.8967,                0.57885,                0.66728,                0.63991,                0.41355,                 1.2452,                 1.4864,                 1.9082,              0.0006065,              0.0006065,              0.0006065
                     16,                 1.2949,                 1.6192,                 1.8647,                0.68149,                 0.6328,                0.67391,                0.41961,                 1.2654,                 1.5425,                 1.9274,               0.000557,               0.000557,               0.000557
                     17,                 1.2424,                 1.4866,                  1.831,                0.70349,                0.58564,                0.65225,                0.41703,                 1.2672,                 1.4331,                 1.8709,              0.0005075,              0.0005075,              0.0005075
                     18,                 1.1867,                 1.4184,                 1.7647,                0.70345,                0.66365,                0.71307,                0.47118,                 1.2288,                 1.3225,                 1.8623,               0.000458,               0.000458,               0.000458
                     19,                 1.1663,                 1.3815,                  1.745,                0.73503,                0.69132,                0.76013,                0.52436,                 1.1232,                  1.241,                 1.7607,              0.0004085,              0.0004085,              0.0004085
                     20,                 1.1296,                 1.3266,                 1.7066,                0.79732,                0.70118,                0.79389,                0.56301,                 1.1041,                 1.1451,                 1.7652,               0.000359,               0.000359,               0.000359
                     21,                 1.1036,                 1.2389,                 1.6725,                0.78319,                0.68909,                0.78659,                0.55597,                 1.0854,                 1.1436,                 1.7313,              0.0003095,              0.0003095,              0.0003095
                     22,                 1.0639,                 1.2128,                  1.638,                 0.8256,                0.68934,                0.80664,                0.57253,                 1.0709,                 1.1061,                 1.7124,                0.00026,                0.00026,                0.00026
                     23,                 1.0616,                 1.1465,                 1.6227,                0.79894,                0.74431,                0.81678,                0.58453,                 1.0639,                 1.0813,                 1.6893,              0.0002105,              0.0002105,              0.0002105
                     24,                 1.0358,                 1.1187,                 1.5992,                0.79226,                0.74826,                0.82674,                0.59486,                 1.0156,                 1.0292,                 1.6491,               0.000161,               0.000161,               0.000161
                     25,                0.99269,                 1.0597,                 1.5623,                0.80106,                0.75033,                0.83372,                0.61302,                0.98994,                  1.011,                 1.6447,              0.0001115,              0.0001115,              0.0001115
